Date,Recip_County,Recip_State,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Census2019,Census2019_12PlusPop,Census2019_18PlusPop
4/30/2021,Somerset County,NJ,171235,52.1,171222,59.9,168802,65.4,42365,79.7,111953,34,111952,39.2,111196,43.1,33815,63.6,328934,285695,258178
4/30/2021,Hunterdon County,NJ,62819,50.5,62818,56.9,62135,61.7,19158,79.5,38637,31.1,38636,35,38472,38.2,14090,58.5,124371,110363,100659
4/30/2021,Salem County,NJ,24559,39.4,24557,45.7,24384,49.7,9221,77.7,16497,26.4,16497,30.7,16454,33.5,6943,58.5,62385,53679,49051
4/30/2021,Cumberland County,NJ,51727,34.6,51727,41.1,51422,45.1,16628,71.1,32093,21.5,32093,25.5,32014,28.1,11186,47.8,149527,125954,114047
4/30/2021,Essex County,NJ,347962,43.6,347931,51.8,343190,56.3,84139,75.7,224501,28.1,224496,33.4,223144,36.6,65209,58.7,798975,671913,609578
4/30/2021,Morris County,NJ,278127,56.5,277989,64.9,273751,70.3,72630,84,208754,42.4,208751,48.7,207431,53.3,65077,75.2,491845,428537,389368
4/30/2021,Unknown County,NJ,,0,,0,,0,,0,289416,0,289412,0,284272,0,99383,0,,,
4/30/2021,Atlantic County,NJ,123200,46.7,123195,54.1,122030,58.6,38080,77.7,94832,36,94829,41.7,94262,45.3,32345,66,263670,227677,208133
4/30/2021,Bergen County,NJ,494344,53,494308,61.2,486661,66.1,133784,81.2,358122,38.4,358117,44.4,356015,48.4,116619,70.8,932202,807139,735893
4/30/2021,Monmouth County,NJ,297837,48.1,297817,55.2,294907,60.3,90494,80.4,205361,33.2,205359,38.1,204611,41.8,73436,65.3,618795,539254,489383
4/30/2021,Middlesex County,NJ,391769,47.5,391746,55.3,386396,59.8,99469,77.9,248686,30.1,248684,35.1,247015,38.2,77606,60.7,825062,708391,646270
4/30/2021,Burlington County,NJ,225512,50.6,225503,58.3,222749,63.1,64010,82.7,168900,37.9,168899,43.6,167886,47.5,55434,71.7,445349,387026,353190
4/30/2021,Union County,NJ,240022,43.1,239996,51,236365,55.4,58120,70.9,154413,27.8,154409,32.8,153432,36,44486,54.3,556341,470390,426483
4/30/2021,Hudson County,NJ,312443,46.5,312398,54.4,310081,57.9,58241,71.1,196687,29.3,196683,34.2,196130,36.6,45207,55.2,672391,574459,535676
4/30/2021,Warren County,NJ,49225,46.8,49223,53,48842,57.5,16878,85.6,32215,30.6,32215,34.7,32148,37.9,14057,71.3,105267,92873,84914
4/30/2021,Gloucester County,NJ,133593,45.8,133591,53,131851,57.7,37347,78.5,94463,32.4,94463,37.5,93861,41.1,29968,63,291636,251839,228537
4/30/2021,Cape May County,NJ,49861,54.2,49860,61.1,49553,65.1,21026,83.5,40352,43.8,40352,49.4,40237,52.9,18591,73.9,92039,81647,76089
4/30/2021,Sussex County,NJ,63794,45.4,63782,51.5,63225,55.8,19439,77,42708,30.4,42708,34.5,42575,37.6,15497,61.4,140488,123854,113243
4/30/2021,Ocean County,NJ,239411,39.4,239394,47.2,238383,51.8,104201,75.3,168826,27.8,168824,33.3,168569,36.6,82685,59.8,607186,507517,460496
4/30/2021,Mercer County,NJ,167469,45.6,167458,52.9,164880,57,44265,77,105442,28.7,105439,33.3,104641,36.2,33203,57.8,367430,316439,289368
4/30/2021,Passaic County,NJ,206135,41.1,206097,48.8,204020,53.3,55670,74,135156,26.9,135152,32,134633,35.2,44539,59.2,501826,422206,382808
4/30/2021,Camden County,NJ,231426,45.7,231415,53.6,228497,58.3,63390,77.8,167739,33.1,167733,38.9,166732,42.5,52461,64.3,506471,431523,392248
4/29/2021,Union County,NJ,237385,42.7,237360,50.5,233838,54.8,57793,70.5,149736,26.9,149732,31.8,148851,34.9,43669,53.3,556341,470390,426483
4/29/2021,Hudson County,NJ,308955,45.9,308910,53.8,306696,57.3,58003,70.8,190849,28.4,190845,33.2,190373,35.5,44684,54.6,672391,574459,535676
4/29/2021,Middlesex County,NJ,387898,47,387875,54.8,382669,59.2,99028,77.5,243643,29.5,243641,34.4,242035,37.5,76609,60,825062,708391,646270
4/29/2021,Atlantic County,NJ,122546,46.5,122541,53.8,121394,58.3,37983,77.5,93649,35.5,93646,41.1,93094,44.7,32089,65.5,263670,227677,208133
4/29/2021,Gloucester County,NJ,132900,45.6,132898,52.8,131181,57.4,37282,78.4,92738,31.8,92738,36.8,92174,40.3,29761,62.6,291636,251839,228537
4/29/2021,Morris County,NJ,276518,56.2,276380,64.5,272224,69.9,72459,83.8,205675,41.8,205672,48,204417,52.5,64744,74.9,491845,428537,389368
4/29/2021,Salem County,NJ,24417,39.1,24415,45.5,24246,49.4,9208,77.6,16004,25.7,16004,29.8,15963,32.5,6851,57.7,62385,53679,49051
4/29/2021,Camden County,NJ,230051,45.4,230040,53.3,227223,57.9,63222,77.5,165507,32.7,165501,38.4,164555,42,52108,63.9,506471,431523,392248
4/29/2021,Essex County,NJ,345525,43.2,345494,51.4,340872,55.9,83893,75.5,220008,27.5,220003,32.7,218730,35.9,64506,58.1,798975,671913,609578
4/29/2021,Burlington County,NJ,224191,50.3,224182,57.9,221491,62.7,63797,82.5,166730,37.4,166729,43.1,165754,46.9,54889,70.9,445349,387026,353190
4/29/2021,Cumberland County,NJ,51351,34.3,51351,40.8,51052,44.8,16570,70.8,31724,21.2,31724,25.2,31647,27.7,11083,47.4,149527,125954,114047
4/29/2021,Mercer County,NJ,165878,45.1,165867,52.4,163357,56.5,44082,76.7,103305,28.1,103302,32.6,102526,35.4,32783,57,367430,316439,289368
4/29/2021,Somerset County,NJ,169683,51.6,169670,59.4,167301,64.8,42229,79.4,109999,33.4,109999,38.5,109269,42.3,33437,62.9,328934,285695,258178
4/29/2021,Ocean County,NJ,237596,39.1,237580,46.8,236625,51.4,103767,75,166984,27.5,166982,32.9,166753,36.2,82151,59.4,607186,507517,460496
