"Data Note: The following data is based on language in user’s browser settings.

For ""Language"" (Column B), Google Analytics uses ISO code for language, followed by ISO code for country

ISO language code definitions can be found at https://www.loc.gov/standards/iso639-2/php/code_list.php. We suggest ignoring the country codes after the hyphen and consolidating languages across countries.

Eg: en (English), en-us (English, United States), en-gb (English, Great Britain), and all other ""en-"" strings can combined to find the total number of users with their browser set to English.
",,
Month of Year,Language,Users
202103,en-us,"5,134,198"
202104,en-us,"2,968,877"
202103,en,"128,372"
202104,es-us,"127,694"
202103,es-us,"82,905"
202104,es-419,"74,549"
202103,es-419,"66,468"
202104,en,"66,010"
202104,en-gb,"41,867"
202103,en-gb,"40,290"
202104,es-es,"33,455"
202103,es-es,"29,809"
202104,en-ca,"14,432"
202104,en-in,"13,457"
202103,en-au,"13,161"
202103,en-ca,"12,335"
202104,es,"9,436"
202104,zh-cn,"9,408"
202103,es-mx,"9,287"
202103,es,"9,162"
202103,ko-kr,"8,822"
202104,es-mx,"8,772"
202103,zh-cn,"8,306"
202104,ko-kr,"7,184"
202104,en-au,"7,010"
202103,en-in,"5,632"
202104,pt-br,"5,378"
202103,pt-br,"5,247"
202104,es-ar,"3,875"
202104,es-xl,"3,185"
202104,ja,"3,135"
202103,es-xl,"2,989"
202103,es-ar,"2,951"
202103,es-pe,"2,855"
202103,ja,"2,566"
202104,es-pe,"2,532"
202104,es-co,"1,902"
202103,fr-fr,"1,826"
202103,zh-tw,"1,776"
202103,ko,"1,741"
202104,fr-fr,"1,521"
202103,de-de,"1,456"
202104,zh-tw,"1,403"
202103,it-it,"1,234"
202103,pl-pl,"1,229"
202104,tr-tr,"1,229"
202104,ru-ru,"1,189"
202104,ko,"1,121"
202103,es-co,"1,072"
202104,de-de,"1,015"
202103,es-cl,993
202103,ru-ru,963
202104,pl-pl,956
202104,it-it,918
202104,es-cl,912
202103,tr-tr,868
202104,en-ph,758
202103,he-il,723
202104,he-il,711
202104,es-la,658
202103,en-ph,634
202104,es-ec,629
202104,pt-pt,616
202103,pt-pt,614
202103,(not set),576
202104,(not set),520
202104,es-cr,486
202104,ja-jp,466
202104,en-za,465
202103,en-sg,419
202103,ja-jp,414
202103,de,414
202103,es-ec,413
202104,en-sg,404
202104,es-gt,351
202103,fr,350
202104,es-do,308
202104,es-ve,306
202103,nl-nl,301
202103,vi-vn,285
202103,fr-ca,276
202103,zh-hk,274
202103,pl,255
202104,nl-nl,249
202103,sv-se,249
202103,es-ve,249
202104,ar,248
202104,vi-vn,244
202104,fr-ca,244
202104,uk-ua,232
202104,es-hn,231
202104,fr,229
202103,en-za,222
202103,es-do,218
202104,de,210
202103,es-pa,206
202103,es-uy,205
202104,sv-se,202
202103,ar,197
202104,es-uy,196
202103,en-ie,193
202103,el-gr,191
202104,el-gr,191
202104,es-pa,188
202103,ca-es,185
202103,es-gt,175
202103,uk-ua,173
202103,pt,171
202103,hu-hu,170
202104,fi-fi,168
202103,es-cr,167
202104,en-ie,164
202104,es-pr,163
202103,es-py,161
202104,ca-es,160
202103,it,159
202104,zh-hk,157
202104,pl,151
202103,es-hn,149
202103,ru,147
202104,es-py,146
202104,pt,143
202104,es-sv,138
202103,nb-no,137
