Search Term,April 2021 Search Queries,March 2021 Search Queries
dashboard,"3,904","4,644"
how is the covid 19 vaccine being distributed in new jersey,"2,957","11,113"
where in new jersey is covid 19,"2,181","5,937"
travel restrictions,"1,871","2,603"
travel,"1,483","3,871"
how can i protect myself from getting the virus,"1,113","2,211"
dashboard data,"1,092","1,239"
how do i download the covid alert nj app,971,"3,467"
what rules are in place for reopened restaurants,957,"1,770"
quarantine rules,676,812
data dashboard,637,786
outdoor wedding,545,538
vaccination locations,533,"1,256"
travel out of state,524,"1,053"
testing centers in nj,481,637
covid scams,438,582
quarantine guidelines,408,739
replacement vaccination card,399,0
travel quaratine,385,8
vaccine,366,"1,158"
register for vaccine,362,579
restaurants,362,477
phases,361,527
weddings,329,517
indoor gatherings,279,340
rate of transmission,257,368
wedding receptions,257,528
johnson and johnson vaccine locations,252,352
international travelers to new jersey,239,137
outdoor gatherings,224,423
en que partes de nueva jersey esta covid 19,224,227
cali score,223,200
mask requirements,212,114
appointment for vaccine,204,758
where can i get the vaccine,203,"1,121"
johnson and johnson vaccine,196,"1,047"
vaccine locations,184,772
quarantine,177,308
eviction moratorium,172,322
vaccine appointment,171,498
gathering restrictions,160,202
travel quarantine,157,144
vaccine eligibility,154,521
reschedule appointments,153,223
eligibility,151,230
register for covid vaccine,142,468
schedule vaccine,142,392
where can i get the johnson and johnson vaccine,140,597
covid dashboard,139,200
wedding,138,275
njit,138,55
como puedo protegerme para no contraer el virus,130,133
restaurant capacity,130,110
lost card,130,29
vaccine registry,129,618
pool openings,127,41
which vaccine is nj distributing,125,162
transmission rate today,125,177
schedule an appointment,125,524
cancel vaccine appointment,124,404
wedding restrictions in nj,121,253
schedule an appointment for vaccine,120,401
dashboard rate of transmission,117,117
newark nj,115,130
pfizer vaccine,115,65
second dose appointment,113,158
gym guidelines,112,121
quarantine after exposure,111,149
travel restrictions out of state,110,197
lost vaccination card,110,12
where can i get vaccinated,108,433
prom,104,39
how do i cancel a vaccine appointment,104,234
rate of transmission today,101,209
resources,101,218
domestic travel,101,74
como puedo descargar la aplicacion alerta de covid 19 de new jersey,101,169
dancing at weddings,100,87
data,100,58
school guidelines,99,186
indoor dining,99,168
bars and restaurants,97,90
cases,96,62
sports,96,345
cases by county,95,171
covid19 vaccine,95,398
nursing home visitation,94,164
testing,94,113
sports guidelines,88,109
covid vaccine locations,87,305
summer camps,83,83
rt rate,82,147
buffet,80,46
antibody testing centers in nj,80,88
outdoor gathering limit,79,112
how long should someone quarintine after exposure,79,135
graduations,78,31
vaccine scheduling system,78,412
covid 19 vaccine locations for eligible recipients,78,265
states with travel restrictions,78,146
homebound vaccine,77,1
contact tracing,77,107
who is eligible for the vaccine,74,116
vaccine finder,73,22
employer appeal,72,62
exposure guidlines,71,78
undocumented,71,122
office capacity,68,35
executive order,68,144
travel advisory,67,139
how do i register for the vaccine,67,192
i need an appointment,67,149
